property_ID,property_title,property_type,category,property_status,property_age,facing_direction,furnishing_status,listing_type,posted_by,locality,city,state,country,rera_approved,rera_number,rera_qr_image,total_floors_in_building,floor_number,price_label,area,area_unit,currency,possession,configurations[0].name,configurations[0].area,configurations[0].price,configurations[1].name,configurations[1].area,configurations[1].price,configurations[2].name,configurations[2].area,configurations[2].price,configurations[3].name,configurations[3].area,configurations[3].price,configurations[4].name,configurations[4].area,configurations[4].price,configurations[5].name,configurations[5].area,configurations[5].price,configurations[6].name,configurations[6].area,configurations[6].price,configurations[7].name,configurations[7].area,configurations[7].price,configurations[8].name,configurations[8].area,configurations[8].price,configurations[9].name,configurations[9].area,configurations[9].price,configurations[10].name,configurations[10].area,configurations[10].price,configurations[11].name,configurations[11].area,configurations[11].price,image[0].url,image[0].tag,image[1].url,image[1].tag,image[2].url,image[2].tag,image[3].url,image[3].tag,image[4].url,image[4].tag,image[5].url,image[5].tag,image[6].url,image[6].tag,image[7].url,image[7].tag,video[0].url,video[0].tag,facilities,covered_parking,open_parking,power_backup,nearby_school.name,nearby_school.distance,nearby_hospital.name,nearby_hospital.distance,nearby_metro.name,nearby_metro.distance,nearby_shoppingmall.name,nearby_shoppingmall.distance,locality_price,society_name,num_bed,num_bath,usp_1
R28956,Future Estate by FW Group,Apartment,Res-NP,Under Construction,,,,For Sale,,Sector 1 Greater Noida West,Greater Noida,Uttar Pradesh,India,Yes,UPRERAPRJ7347,https://imagecdn.99acres.com/projects/abcz_builders._pvt._ltd._/abcz_builders_rhythm_county/rera_qr_codes/wprdwl7_1735888446_549015799_O.jpg,,,88.69 L - 1.15 Cr,"1,110 - 1,435 sqft",sq ft,INR,Jul-26,,,,,,,2 BHK,1110.0 sq.ft.,88.69 Lac onwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://newprojects.99acres.com/projects/abcz_builders._pvt._ltd._/abcz_builders_rhythm_county/images/jlygjlf_1761896757_666329775_O.jpg,Cover,https://newprojects.99acres.com/projects/abcz_builders._pvt._ltd._/abcz_builders_rhythm_county/images/lhgtovf_1761896765_666329925_O.jpg,Elevation,https://newprojects.99acres.com/projects/abcz_builders._pvt._ltd._/abcz_builders_rhythm_county/images/jlygjlf_1761896757_666329775_O.jpg,Aerial View,,Bedroom,,Living Room,,Kitchen,,Amenities View,,Swimming Pool,https://www.youtube.com/embed/s0Hd5lNzp48?rel=0&wmode=transparent&autoplay=1&loop=1&playlist=s0Hd5lNzp48,cover,"Swimming Pool,Gymnasium,Club House,Lounge,Children's Play Area,Theatre,EV Charging Stations,Park,Banquet Hall,Amphitheatre,Jogging Track,Badminton Court,Squash Court,Basketball Court,Skating Rink,Yoga/Meditation Area,Aerobics Centre,Cricket Pitch,Restaurant,Cafeteria,Library,Pet Park,Business Lounge,Sun Deck,Indoor Games,Chess,Billiards,Table Tennis,Spa,Doctor on Call,Reflexology Park,Sauna,Steam Room,Fountain,Green Wall (Vertical Gardens),Senior Citizen Sitout,Car Parking,Gated Community,Paved Compound,Earthquake Resistant,Wheelchair Accessible,CCTV Camera Security,Fire Fighting Systems,24x7 Security,Salon,Car Wash Area,Lifts,Property Staff,Entrance Lobby,Intercom,24/7 Power Backup,24/7 Water Supply,Rain Water Harvesting",,,YES,Delhi World Public School,3 Km,Numed Super Speciality Hospital,5.1 Km,Sector 81 Metro Station,8.7 Km,Gaur City Mall,10 Km,9300.0 / sq ft,,,,Your Private Zen Resort Oasis
R269397,ATS Picturesque Reprieves,Apartment,Res-NP,Under Construction,,,,For Sale,,Sector 152,Noida,Uttar Pradesh,India,Yes,UPRERAPRJ631,https://imagecdn.99acres.com/projects/ats_infrastructure/ats_picturesque_reprieves/rera_qr_codes/fd7mlhu_1721387868_505641143_O.jpg,,,2.85 - 5.19 Cr,"1,850 - 3,200 sqft",sq ft,INR,Nov-26,,,,,,,,,,3 BHK,1850.0 sq.ft.,2.85 Cr onwards,4 BHK,3200.0 sq.ft.,4.87 Cr onwards,,,,,,,,,,,,,,,,,,,,,,https://newprojects.99acres.com/projects/ats_infrastructure/ats_picturesque_reprieves/images/t0kipwp_1753352764_622923861_O.jpg,Cover,https://newprojects.99acres.com/projects/ats_infrastructure/ats_picturesque_reprieves/images/t0kipwp_1753352764_622923861_O.jpg,Elevation,,Aerial View,https://newprojects.99acres.com/projects/ats_infrastructure/ats_picturesque_reprieves/images/kzuugttm.jpg,Bedroom,https://newprojects.99acres.com/projects/ats_infrastructure/ats_picturesque_reprieves/images/68azuhp1.jpg,Living Room,https://newprojects.99acres.com/projects/ats_infrastructure/ats_picturesque_reprieves/images/717meuko.jpg,Kitchen,https://newprojects.99acres.com/projects/ats_infrastructure/ats_picturesque_reprieves/images/ou3eqobz.jpg,Amenities View,https://newprojects.99acres.com/projects/ats_infrastructure/ats_picturesque_reprieves/images/p91lbg7r.jpg,Swimming Pool,https://www.youtube.com/embed/gCCP29ktRio?rel=0&wmode=transparent&autoplay=1&loop=1&playlist=gCCP29ktRio,cover,"Swimming Pool,Gymnasium,Club House,Park,Banquet Hall,Jogging Track,Badminton Court,Yoga/Meditation Area,Shopping Centre,Cricket Pitch,Football Ground,Lawn Tennis Court,Multipurpose Hall,Indoor Games,Table Tennis,Open Space,Car Parking,Gated Community,Paved Compound,Earthquake Resistant,CCTV Camera Security,Fire Fighting Systems,Lifts,Intercom,24/7 Power Backup,Garbage Disposal,Sewage Treatment Plant,24/7 Water Supply",,,YES,Greater Valley School,4 Km,"Kailash Hospital, Greater Noida",6.7 Km,Metro Station Noida Sector 147,2.8 Km,The Grand Venice Mall,7.6 Km,13500.0 / sq ft,,,,"Embrace the Spanish spirit, live grand"
R456299,Emaar Serenity Hills,Apartment,Res-NP,New Launch,,,,For Sale,,Sector 86,Gurgaon,Haryana,India,Yes,GGM/993/725/2025/96 DATED 16.10.2025,,,,2.79 - 4.7 Cr,"1,182 - 1,998 sqft",sq ft,INR,Sep-32,,,,,,,,,,3 BHK,1182.0 sq.ft.,2.79 Cr onwards,4 BHK,1998.0 sq.ft.,4.70 Cr onwards,,,,,,,,,,,,,,,,,,,,,,https://newprojects.99acres.com/projects/emaar_india/emaar_serenity_hills/images/pflmhji_1762412687_668978409_O.jpg,Cover,https://newprojects.99acres.com/projects/emaar_india/emaar_serenity_hills/images/pflmhji_1762412687_668978409_O.jpg,Elevation,,Aerial View,,Bedroom,,Living Room,,Kitchen,,Amenities View,,Swimming Pool,,cover,"Swimming Pool,Gymnasium,Club House,Mini Theatre,Creche/Day Care,Lounge,Children's Play Area,Theatre,EV Charging Stations,Landscape Garden,Banquet Hall,Jogging Track,Cycling Track,Rock Climbing Wall,Badminton Court,Squash Court,Basketball Court,Yoga/Meditation Area,Aerobics Centre,Cricket Pitch,Lawn Tennis Court,Restaurant,Cafeteria,Library,Pet Park,Co-Working Spaces,Conference Room,Music Room,Art and Craft Studio,Multipurpose court,Party Lawn,Card Room,Carrom,Chess,Billiards,Pool Table,Foosball,Table Tennis,Massage Room,Spa,Sauna,Steam Room,Open Space,Senior Citizen Sitout,Car Parking,Gated Community,Community Hall,CCTV Camera Security,Security Cabin,24x7 Security,Cigar Lounge,Salon,Lifts,Bar/Chill-Out Lounge",,,,Ompee International School,7.5 Km,Aarvy Healthcare,2.2 Km,,,Elan Mercado Mall,4.4 Km,11700.0 / sq ft,,,,A Tranquil Haven to Call Home
R430588,CRC Maesta,Apartment,Res-NP,Under Construction,,,,For Sale,,Sector 1 Greater Noida West,Greater Noida,Uttar Pradesh,India,Yes,UPRERAPRJ724518/07/2024,https://imagecdn.99acres.com/projects/crc_group/crc_maesta/rera_qr_codes/3sswzfb_1722402133_507975449_O.jpg,,,3.25 - 3.56 Cr,"2,245 - 2,690 sqft",sq ft,INR,May-29,,,,,,,,,,3 BHK,2245.0 sq.ft.,3.25 Cr onwards,4 BHK,2690.0 sq.ft.,3.56 Cr onwards,,,,,,,,,,,,,,,,,,,,,,https://newprojects.99acres.com/projects/crc_group/crc_maesta/images/8wpoqv4_1731067600_529581193_O.jpg,Cover,https://newprojects.99acres.com/projects/crc_group/crc_maesta/images/8wpoqv4_1731067600_529581193_O.jpg,Elevation,,Aerial View,https://newprojects.99acres.com/projects/crc_group/crc_maesta/images/ypibxpn_1749622537_605765023_O.jpg,Bedroom,https://newprojects.99acres.com/projects/crc_group/crc_maesta/images/poiltad_1731067973_529583605_O.jpg,Living Room,,Kitchen,,Amenities View,https://newprojects.99acres.com/projects/crc_group/crc_maesta/images/bw6eysx_1731067974_529583637_O.jpg,Swimming Pool,https://www.youtube.com/embed/18f4lqhFBg0?rel=0&wmode=transparent&autoplay=1&loop=1&playlist=18f4lqhFBg0,cover,"Swimming Pool,Gymnasium,Club House,Mini Theatre,Lounge,Children's Play Area,Theatre,Terrace Garden,Park,Amphitheatre,Jogging Track,Badminton Court,Squash Court,Yoga/Meditation Area,Lawn Tennis Court,Business Lounge,Multipurpose Hall,Multipurpose court,Sun Deck,Card Room,Indoor Games,Carrom,Chess,Billiards,Pool Table,Table Tennis,Massage Room,Jacuzzi,Spa,Reflexology Park,Sauna,Steam Room,Flower Garden,Fountain,Senior Citizen Sitout,Car Parking,Gated Community,Earthquake Resistant,Vastu Compliant,Fire Fighting Systems,24x7 Security,Waiting Lounge,Bus Shelter,Lifts,Entrance Lobby,Intercom,24/7 Power Backup,24/7 Water Supply",,,YES,Deshraj Public School,450 m,Yatharth Super Speciality Hospital,1.1 Km,Noida Sector 101 Metro Station,9 Km,Gaur City Mall,7.3 Km,9300.0 / sq ft,,,,"Luxury redefined, one residence per floor"
R432045,Godrej Majesty,Apartment,Res-NP,New Launch,,,,For Sale,,Sector-12,Greater Noida,Uttar Pradesh,India,Yes,UPRERAPRJ250823/04/2025,https://imagecdn.99acres.com/projects/godrej_properties/godrej_codename_12/rera_qr_codes/7mjp8jy_1746081491_591694169_O.jpg,,,2.77 - 4.64 Cr,"1,128 - 1,985 sqft",sq ft,INR,Feb-30,,,,,,,2 BHK,1128.0 sq.ft.,2.77 Cr onwards,3 BHK,1183.0 sq.ft.,2.90 Cr onwards,4 BHK,1792.0 sq.ft.,4.19 Cr onwards,,,,,,,,,,,,,,,,,,,,,,https://newprojects.99acres.com/projects/godrej_properties/godrej_codename_12/images/9tteekj_1747303104_596192879_O.jpg,Cover,https://newprojects.99acres.com/projects/godrej_properties/godrej_codename_12/images/9tteekj_1747303104_596192879_O.jpg,Elevation,,Aerial View,https://newprojects.99acres.com/projects/godrej_properties/godrej_codename_12/images/by3ma3w_1747301709_596180105_O.jpg,Bedroom,https://newprojects.99acres.com/projects/godrej_properties/godrej_codename_12/images/1kzqwma_1747301708_596180073_O.jpg,Living Room,https://newprojects.99acres.com/projects/godrej_properties/godrej_codename_12/images/xf0ndyf_1747301709_596180085_O.jpg,Kitchen,,Amenities View,,Swimming Pool,https://www.youtube.com/embed/UHc1KnJ9kk8?rel=0&wmode=transparent&autoplay=1&loop=1&playlist=UHc1KnJ9kk8,cover,"Swimming Pool,Gymnasium,Club House,Creche/Day Care,Children's Play Area,EV Charging Stations,Terrace Garden,Landscape Garden,Banquet Hall,Amphitheatre,Jogging Track,Cycling Track,Rock Climbing Wall,Badminton Court,Squash Court,Basketball Court,Yoga/Meditation Area,Grocery Shop,Bowling Alley,Cricket Pitch,Lawn Tennis Court,Cafeteria,Library,Food Court,Pet Park,Conference Room,Music Room,Multipurpose court,Indoor Games,Jacuzzi,Spa,Open Space,Fountain,Senior Citizen Sitout,Sit Out Area,Car Parking,Gated Community,Paved Compound,Internal Street Lights,Well-Maintained Internal Roads,Community Hall,CCTV Camera Security,Security Cabin,Fire Fighting Systems,24x7 Security,Biometric/Smart Card Access,Fire Alarm,Boom Barrier,Smart Home Automation,Salon,Lifts,Maintenance Staff,24/7 Power Backup,Sewage Treatment Plant,Organic Waste Converter,24/7 Water Supply,Rain Water Harvesting,Futsal,Golf Simulator",,,YES,Shri Ram Global School,2.5 Km,Arogaya Hospital,5 Km,,,Connaught Place Mall,12.9 Km,10150.0 / sq ft,,,,Majesty lives in every square foot
R414339,Experion Elements,Apartment,Res-NP,Under Construction,,,,For Sale,,Sector 45,Noida,Uttar Pradesh,India,Yes,UPRERAPRJ120027/04/2024,https://imagecdn.99acres.com/projects/experion_developers/experion_sector_45_noida/rera_qr_codes/aedexgi_1721592996_506045779_O.jpg,,,6.33 Cr,"1,996 sqft",sq ft,INR,Dec-29,,,,,,,,,,3 BHK,1996.0 sq.ft.,6.33 Cr onwards,,,,,,,,,,,,,,,,,,,,,,,,,https://newprojects.99acres.com/projects/experion_developers/experion_sector_45_noida/images/osty8sx_1751350909_613763219_O.jpg,Cover,https://newprojects.99acres.com/projects/experion_developers/experion_sector_45_noida/images/osty8sx_1751350909_613763219_O.jpg,Elevation,,Aerial View,https://newprojects.99acres.com/projects/experion_developers/experion_sector_45_noida/images/cbjbbrm_1751350149_613758295_O.jpg,Bedroom,https://newprojects.99acres.com/projects/experion_developers/experion_sector_45_noida/images/oumixtn_1751350148_613758287_O.jpg,Living Room,https://newprojects.99acres.com/projects/experion_developers/experion_sector_45_noida/images/ln3l1df_1751350149_613758293_O.jpg,Kitchen,,Amenities View,https://newprojects.99acres.com/projects/experion_developers/experion_sector_45_noida/images/pkmko3s_1751350307_613759137_O.jpg,Swimming Pool,https://www.youtube.com/embed/7-fklXYHD3Y?rel=0&wmode=transparent&autoplay=1&loop=1&playlist=7-fklXYHD3Y,cover,"Swimming Pool,Gymnasium,Club House,Mini Theatre,Creche/Day Care,Lounge,Children's Play Area,Theatre,EV Charging Stations,Banquet Hall,Jogging Track,Rock Climbing Wall,Badminton Court,Squash Court,Basketball Court,Yoga/Meditation Area,Grocery Shop,Bowling Alley,Restaurant,Cafeteria,Library,Pet Park,Business Lounge,Sun Deck,Barbecue,Card Room,Foosball,Table Tennis,Spa,Sauna,Steam Room,Fountain,Senior Citizen Sitout,Sit Out Area,Car Parking,Security Cabin,24x7 Security,Concierge Service,Lifts,Entrance Lobby",,,,Noida Amity International School,2.3 Km,Kailash Hospital Sector 27 Noida,6.8 Km,Okhla Bird Sanctuary Metro Station,3.8 Km,The Great India Place Shopping Mall,5.0 Km,13000.0 / sq ft,,,,"Luxury Redefined, Space Reinvented"
R374312,Godrej Woods,Apartment,Res-NP,Partially Ready To Move,,,,For Sale,,Sector 43,Noida,Uttar Pradesh,India,Yes,UPRERAPRJ704730,https://imagecdn.99acres.com/projects/godrej_properties/godrej_43/rera_qr_codes/gdyptw2_1723025955_509631293_O.jpg,,,1.77 - 12.38 Cr,"773 - 3,754 sqft",sq ft,INR,May-23,,,,,,,2 BHK,773.0 sq.ft.,1.77 Cr onwards,3 BHK,1073.0 sq.ft.,2.52 Cr onwards,4 BHK,1602.0 sq.ft.,4.70 Cr onwards,5 BHK,2648.0 sq.ft.,7.68 Cr onwards,,,,,,,,,,,,,,,,,,,https://newprojects.99acres.com/projects/godrej_properties/godrej_43/images/ehjep0o_1760424875_660351387_O.jpg,Cover,https://newprojects.99acres.com/projects/godrej_properties/godrej_43/images/2ifldy5_1720086080_502389881.jpg,Elevation,https://newprojects.99acres.com/projects/godrej_properties/godrej_43/images/ehjep0o_1760424875_660351387_O.jpg,Aerial View,https://newprojects.99acres.com/projects/godrej_properties/godrej_43/images/f9new47m.jpg,Bedroom,https://newprojects.99acres.com/projects/godrej_properties/godrej_43/images/jechxjqk.jpg,Living Room,https://newprojects.99acres.com/projects/godrej_properties/godrej_43/images/4qny3n7y.jpg,Kitchen,,Amenities View,https://newprojects.99acres.com/projects/godrej_properties/godrej_43/images/vub62cj_1751004386_612229705_O.jpg,Swimming Pool,https://www.youtube.com/embed/CWoIOPeBFvw?rel=0&wmode=transparent&autoplay=1&loop=1&playlist=CWoIOPeBFvw,cover,"Swimming Pool,Gymnasium,Club House,Golf Course,Creche/Day Care,Lounge,Children's Play Area,Theatre,Park,Banquet Hall,Jogging Track,Forest Trail,Badminton Court,Basketball Court,Yoga/Meditation Area,Shopping Centre,Lawn Tennis Court,Restaurant,Cafeteria,Business Lounge,Multipurpose Hall,Tot Lot,Multipurpose court,Sun Deck,Party Lawn,Barbecue,Card Room,Indoor Games,Chess,Pool Table,Table Tennis,Jacuzzi,Spa,Sauna,Steam Room,Fountain,Senior Citizen Sitout,Car Parking,Gated Community,Paved Compound,Internal Street Lights,Vastu Compliant,Community Hall,CCTV Camera Security,Security Cabin,Fire Fighting Systems,24x7 Security,Fire Alarm,Intercom Facilities,Pergola,Piped Gas,Lifts,Entrance Lobby,Maintenance Staff,Centralized Air Conditioning,Waste Management,Garbage Disposal,Sewage Treatment Plant,24/7 Water Supply,Water Softener Plant,Rain Water Harvesting",,,,"Ryan International School, Sector 39",1.7 Km,Apollo Hospital,3.9 Km,Botanical Garden Metro Station,2.5 Km,DLF Mall of India,4.8 Km,19400.0 / sq ft,,,,Live amidst nature's tranquil embrace
R351031,Yamuna Expressway Authority Plots,Land,Res-NP,Ready To Move,,,,For Sale,,Sector 18 Yamuna Expressway,Greater Noida,Uttar Pradesh,India,Yes,UPRERAPRJ282078,,,,1.15 - 38.33 Cr,"1,292 - 43,055 sqft",sq ft,INR,Jul-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plot,1292.0 sq.ft.,1.15 Cr onwards,https://newprojects.99acres.com/projects/yamuna_expressway_industrial_development_authority/yamuna_expressway_authority_plots/images/q382rq23.jpg,Cover,,Elevation,,Aerial View,,Bedroom,,Living Room,,Kitchen,,Amenities View,,Swimming Pool,https://www.youtube.com/embed/aAKR7r4-hR8?rel=0&wmode=transparent&autoplay=1&loop=1&playlist=aAKR7r4-hR8,cover,"Children's Play Area,Landscape Garden,Park,Car Parking,Paved Compound,Internal Street Lights,Vastu Compliant,Feng Shui,Well-Maintained Internal Roads,24x7 Security,Emergency Exits,Maintenance Staff,Waste Management,24/7 Water Supply",,,,Sanfort World School,160m,Yatharth Super Speciality Hospital,290m,Knowledge Park II,1.7km,Ansal Housing Shopping Complex,1.5km,6500.0 / sq ft,,,,"Invest in Your Legacy, Build Your Future"
R432550,TARC Ishva,Apartment,Res-NP,Under Construction,,,,For Sale,,Sector 63A,Gurgaon,Haryana,India,Yes,GGM/865/597/2024/92 DATED 04.09.2024,,,,7.7 - 10.48 Cr,"1,588 - 2,157 sqft",sq ft,INR,Oct-29,,,,,,,,,,3 BHK,1588.0 sq.ft.,7.70 Cr onwards,4 BHK,2157.0 sq.ft.,10.48 Cr onwards,,,,,,,,,,,,,,,,,,,,,,https://newprojects.99acres.com/projects/tarc/tarc_ishva/images/o0ix77o_1752148232_617532197_O.jpg,Cover,https://newprojects.99acres.com/projects/tarc/tarc_ishva/images/o0ix77o_1752148232_617532197_O.jpg,Elevation,,Aerial View,https://newprojects.99acres.com/projects/tarc/tarc_ishva/images/c6yc0sw_1752148531_617536615_O.jpg,Bedroom,https://newprojects.99acres.com/projects/tarc/tarc_ishva/images/e8iw8cz_1752148529_617536587_O.jpg,Living Room,,Kitchen,https://newprojects.99acres.com/projects/tarc/tarc_ishva/images/5yhx7fw_1742462792_578999671_O.jpg,Amenities View,,Swimming Pool,https://www.youtube.com/embed/sqWqgLHl3d8?rel=0&wmode=transparent&autoplay=1&loop=1&playlist=sqWqgLHl3d8,cover,"Swimming Pool,Gymnasium,Club House,Children's Play Area,Park,Amphitheatre,Jogging Track,Cycling Track,Badminton Court,Yoga/Meditation Area,Cricket Pitch,Lawn Tennis Court,Multipurpose court,Sun Deck,Party Lawn,Jacuzzi,Senior Citizen Sitout,Car Parking,Paved Compound,Vastu Compliant,Fire Alarm,Intercom Facilities,Lifts,Maintenance Staff,Rain Water Harvesting",,,,C.G.S international School,2.4 Km,Ayu Health Hospital,5.6 Km,Rapid Metro,6.1 Km,Ambience Mall,17.1 Km,22450.0 / sq ft,,,,"Embrace the Aravalli, Live Limitless"
R400436,Ivory County,Apartment,Res-NP,Under Construction,,,,For Sale,,Sector 115,Noida,Uttar Pradesh,India,Yes,UPRERAPRJ256314,https://imagecdn.99acres.com/projects/county_group/county_115/rera_qr_codes/pvoqcwo_1731066585_529573991_O.jpg,,,3.56 - 12.84 Cr,"2,034 - 6,939 sqft",sq ft,INR,Jul-28,,,,,,,,,,3 BHK,2034.0 sq.ft.,3.56 Cr onwards,4 BHK,2727.0 sq.ft.,4.77 Cr onwards,5 BHK,6939.0 sq.ft.,12.84 Cr onwards,,,,,,,,,,,,,,,,,,,https://newprojects.99acres.com/projects/county_group/county_115/images/mt8lcd0_1714997278_490446558.jpg,Cover,https://newprojects.99acres.com/projects/county_group/county_115/images/oetw5vt_1733916080_537106301_O.jpg,Elevation,,Aerial View,https://newprojects.99acres.com/projects/county_group/county_115/images/akkith8_1714997351_490447084.jpg,Bedroom,https://newprojects.99acres.com/projects/county_group/county_115/images/mnuhb9f_1714997351_490447082.jpg,Living Room,,Kitchen,https://newprojects.99acres.com/projects/county_group/county_115/images/5grsdzn_1714997279_490446566.jpg,Amenities View,https://newprojects.99acres.com/projects/county_group/county_115/images/vswcpew_1714997280_490446582.jpg,Swimming Pool,https://www.youtube.com/embed/RUokPh9wBg8?rel=0&wmode=transparent&autoplay=1&loop=1&playlist=RUokPh9wBg8,cover,"Swimming Pool,Gymnasium,Club House,Mini Theatre,Creche/Day Care,Lounge,Children's Play Area,Banquet Hall,Amphitheatre,Badminton Court,Basketball Court,Skating Rink,Yoga/Meditation Area,Cricket Pitch,Football Ground,Lawn Tennis Court,Restaurant,Pet Park,Business Lounge,Tot Lot,Multipurpose court,Card Room,Indoor Games,Billiards,Table Tennis,Spa,Senior Citizen Sitout,Sit Out Area,Car Parking,Gated Community,School,Temple,Reading Lounge,Salon,Lifts,Bar/Chill-Out Lounge,Rain Water Harvesting",,,,Deshraj Public School,4.9 Km,Apex Multispeciality Hospital,1.8 Km,Noida Sector 101 Metro Station,3 Km,Gaur City Mall,6.8 Km,15950.0 / sq ft,,,,"Luxury Redefined, Exclusively Yours"
